method,image,shape,elements,offset,repeats,median_ms,min_ms,max_ms,outputs_equal,speedup_vs_loop
brighten_loop,wide_scene.jpg,"(300, 720, 3)",648000,40,5,206.7717,204.2367,219.4965,True,1.0
brighten_vectorized,wide_scene.jpg,"(300, 720, 3)",648000,40,5,2.9765,2.5784,4.2116,True,69.47
